accuracy,precision,recall,f1_score,confusion_matrix,Model
0.7675953768088705,0.7610374662191198,0.7675953768088705,0.7624447512785787,"[[18953, 1286, 807], [2809, 6183, 1824], [1308, 1859, 7539]]",Random Forest
1.0,1.0,1.0,1.0,"[[143592, 0], [0, 69246]]",BERT
